tag,id_dataset,arch,n_classes,accuracy,ece15,ece15_after_T,nll,brier,T,auroc_misclass_maxsoftmax,auroc_misclass_energy,auroc_ood_fashion_mnist,auroc_ood_kmnist,auroc_ood_gaussian,auroc_ood_uniform,auroc_ood_mnist,auroc_ood_svhn,auroc_ood_cifar100,auroc_ood_cifar10
A_mnist_mlp,mnist,mlp,10,0.9846,0.00848616881370549,0.003081302568316481,0.05733237415552139,0.024433599715817364,1.7530910756539786,0.9791988176357463,0.9528379907721772,0.8924875999999999,0.90576445,0.838929925,0.83392825,,,,
B_mnist_mlp_overtrained,mnist,mlp,10,0.9842,0.01415059406161312,0.0034700179576873384,0.15061305463314056,0.028860556755055614,5.123815759528279,0.920323388011596,0.9483581087511801,0.8711865,0.81053585,0.7199887500000001,0.73435065,,,,
C_fashion_smallcnn,fashion_mnist,small_cnn,10,0.9194,0.005254817783832544,0.007051293262839282,0.22424110770225525,0.11727154575988473,0.980490601363557,0.9192692828584399,0.8629455988936576,,0.7481289999999999,0.8217448249999999,0.8125388749999999,0.715473975,,,
D_cifar10_smallcnn,cifar10,small_cnn,10,0.7684,0.03334846270382404,0.012014898589253439,0.6724568605422974,0.3273208897254309,0.8930333587625596,0.8302866620993852,0.7463433089774953,,,0.476234425,,,0.5892925499999999,0.733208725,
E_cifar10_resnet18,cifar10,resnet18,10,0.8674,0.09718550927937031,0.010257242339849504,0.7453050017356873,0.22558535030337515,3.0379519703459543,0.8843353396412572,0.8659176659081715,,,0.806900725,,,0.814221,0.7963536250000001,
F_cifar100_resnet18,cifar100,resnet18,100,0.5869,0.25464979865252974,0.014903763020038614,2.4075262546539307,0.6417356026706852,2.4708635321118426,0.828397458114694,0.8017581185010138,,,0.5627103250000001,,,0.6449907749999999,,0.6769656000000001
G_cifar10_resnet18_ls,cifar10,resnet18,10,0.873,0.05676508276760581,0.03400791009068486,0.49612128734588623,0.19708788531026025,0.8292392779848001,0.8607742782152231,0.8481474416213437,,,0.70136065,,,0.81725365,0.7950053,
