tag,alpha,accuracy,agreement_with_alpha1,mean_confidence,mean_entropy,nll,ece15
A_mnist_mlp,0.1,0.9846,1.0,0.5126981139183044,1.647412657737732,0.7156710028648376,0.47192815257608883
A_mnist_mlp,0.25,0.9846,1.0,0.901406466960907,0.4067706763744354,0.13010485470294952,0.08323097597360612
A_mnist_mlp,0.5,0.9846,1.0,0.9797365069389343,0.07049708068370819,0.04882025718688965,0.005546650844812413
A_mnist_mlp,1.0,0.9846,1.0,0.9929899573326111,0.01923508755862713,0.05733237415552139,0.00848616881370549
A_mnist_mlp,2.0,0.9846,1.0,0.9969068169593811,0.007930122315883636,0.10149462521076202,0.012511473107337969
A_mnist_mlp,4.0,0.9846,1.0,0.9986355304718018,0.0036019531544297934,0.1972535103559494,0.014209926235675767
A_mnist_mlp,10.0,0.9846,1.0,0.9995839595794678,0.0011047800071537495,0.48963475227355957,0.01510316148698335
A_mnist_mlp,-1.0,0.0,0.0,0.8291759490966797,0.4461420774459839,,
B_mnist_mlp_overtrained,0.1,0.9842,1.0,0.936485767364502,0.26678675413131714,0.09074663370847702,0.047714287811517694
B_mnist_mlp_overtrained,0.25,0.9842,1.0,0.9899943470954895,0.029403893277049065,0.04926016926765442,0.005887472033500658
B_mnist_mlp_overtrained,0.5,0.9842,1.0,0.9955129027366638,0.011097736656665802,0.07938332855701447,0.011872110685706105
B_mnist_mlp_overtrained,1.0,0.9842,1.0,0.9977022409439087,0.0053858328610658646,0.15061305463314056,0.01415059406161312
B_mnist_mlp_overtrained,2.0,0.9842,1.0,0.9987738132476807,0.0027763727121055126,0.2971542477607727,0.015154684868454943
B_mnist_mlp_overtrained,4.0,0.9842,1.0,0.9993148446083069,0.0015337300719693303,0.592155933380127,0.01552765580415728
B_mnist_mlp_overtrained,10.0,0.9842,1.0,0.999697744846344,0.0007355897687375546,1.4786667823791504,0.015664109820127437
B_mnist_mlp_overtrained,-1.0,0.0,0.0,0.9265148639678955,0.1832510083913803,,
C_fashion_smallcnn,0.1,0.9194,1.0,0.2593354880809784,2.140211343765259,1.3984943628311157,0.6602342584133148
C_fashion_smallcnn,0.25,0.9194,1.0,0.5723829865455627,1.3832883834838867,0.653694212436676,0.3470170750170946
C_fashion_smallcnn,0.5,0.9194,1.0,0.8144111037254333,0.5817950963973999,0.30463162064552307,0.1050286194100976
C_fashion_smallcnn,1.0,0.9194,1.0,0.922981858253479,0.21171943843364716,0.22424110770225525,0.005254817783832544
C_fashion_smallcnn,2.0,0.9194,1.0,0.9641259908676147,0.09010849893093109,0.30122408270835876,0.044862157759070403
C_fashion_smallcnn,4.0,0.9194,1.0,0.9822967052459717,0.04293214902281761,0.5364400744438171,0.06308945981562135
C_fashion_smallcnn,10.0,0.9194,1.0,0.9928339719772339,0.016979238018393517,1.296354055404663,0.07348505035340785
C_fashion_smallcnn,-1.0,0.0,0.0,0.6956594586372375,0.8133354783058167,,
D_cifar10_smallcnn,0.1,0.7684,1.0,0.17651161551475525,2.2319588661193848,1.7916247844696045,0.5918883867323398
D_cifar10_smallcnn,0.25,0.7684,1.0,0.32461637258529663,1.9188660383224487,1.2768250703811646,0.44378360274136064
D_cifar10_smallcnn,0.5,0.7684,1.0,0.5320690274238586,1.3466837406158447,0.8676912188529968,0.23633098856508733
D_cifar10_smallcnn,1.0,0.7684,1.0,0.7350515723228455,0.7354018688201904,0.6724568605422974,0.03334846270382404
D_cifar10_smallcnn,2.0,0.7684,1.0,0.864292562007904,0.3558659255504608,0.7979655265808105,0.0963275948941708
D_cifar10_smallcnn,4.0,0.7684,1.0,0.9324293732643127,0.16916091740131378,1.3343050479888916,0.16416304765045642
D_cifar10_smallcnn,10.0,0.7684,1.0,0.9728937745094299,0.06537805497646332,3.1609854698181152,0.20449387676119804
D_cifar10_smallcnn,-1.0,0.0005,0.0,0.6146750450134277,1.0214834213256836,,
E_cifar10_resnet18,0.1,0.8674,1.0,0.45787060260772705,1.7464795112609863,0.930988073348999,0.40955598767846824
E_cifar10_resnet18,0.25,0.8674,1.0,0.8113495111465454,0.6270880699157715,0.4290473163127899,0.05607643611729147
E_cifar10_resnet18,0.5,0.8674,1.0,0.9226745963096619,0.22059474885463715,0.4489176869392395,0.05531921894550322
E_cifar10_resnet18,1.0,0.8674,1.0,0.9645854234695435,0.09217282384634018,0.7453050017356873,0.09718550927937031
E_cifar10_resnet18,2.0,0.8674,1.0,0.983375072479248,0.04187741503119469,1.4241394996643066,0.11610461094677448
E_cifar10_resnet18,4.0,0.8674,1.0,0.9921451210975647,0.01930384151637554,2.817866563796997,0.12478988731503485
E_cifar10_resnet18,10.0,0.8674,1.0,0.9969680905342102,0.007321537006646395,7.024909973144531,0.12956809368729594
E_cifar10_resnet18,-1.0,0.0004,0.0,0.7405955195426941,0.683609664440155,,
F_cifar100_resnet18,0.1,0.5869,1.0,0.07123682647943497,4.347081184387207,3.0317280292510986,0.5156631714280695
F_cifar100_resnet18,0.25,0.5869,1.0,0.3706935942173004,2.7686824798583984,1.799180507659912,0.21620640182606873
F_cifar100_resnet18,0.5,0.5869,1.0,0.6733859181404114,1.1714802980422974,1.6020185947418213,0.08648590648025273
F_cifar100_resnet18,1.0,0.5869,1.0,0.841549813747406,0.46102169156074524,2.4075262546539307,0.25464979865252974
F_cifar100_resnet18,2.0,0.5869,1.0,0.9220859408378601,0.20341169834136963,4.488161563873291,0.33518588372170927
F_cifar100_resnet18,4.0,0.5869,1.0,0.9614503979682922,0.0960298553109169,8.827593803405762,0.37455025528371333
F_cifar100_resnet18,10.0,0.5869,1.0,0.9846912026405334,0.03672504425048828,21.969890594482422,0.39779110808074475
F_cifar100_resnet18,-1.0,0.0,0.0,0.6385577917098999,1.1441372632980347,,
G_cifar10_resnet18_ls,0.1,0.873,1.0,0.1431252509355545,2.2926464080810547,1.9746426343917847,0.7298747620262205
G_cifar10_resnet18_ls,0.25,0.873,1.0,0.23601801693439484,2.219782829284668,1.5261026620864868,0.6369820059105754
G_cifar10_resnet18_ls,0.5,0.873,1.0,0.4591798782348633,1.8513849973678589,0.9479308724403381,0.41382010920196777
G_cifar10_resnet18_ls,1.0,0.873,1.0,0.8302427530288696,0.733762800693512,0.49612128734588623,0.05676508276760581
G_cifar10_resnet18_ls,2.0,0.873,1.0,0.9635119438171387,0.12166596949100494,0.6142228245735168,0.09051200399994853
G_cifar10_resnet18_ls,4.0,0.873,1.0,0.984828531742096,0.039424456655979156,1.1552213430404663,0.11182839049994948
G_cifar10_resnet18_ls,10.0,0.873,1.0,0.9942402243614197,0.014181540347635746,2.8486204147338867,0.12124018387794491
G_cifar10_resnet18_ls,-1.0,0.002,0.0,0.12938371300697327,2.189157247543335,,
