tag,task,score,auroc,aurc
C_fashion_smallcnn,ood_mnist,energy,0.8288485,0.05611841090601096
C_fashion_smallcnn,ood_mnist,margin,0.7099374250000001,0.0782080329536296
C_fashion_smallcnn,ood_mnist,max_softmax,0.715473975,0.07780620898979637
C_fashion_smallcnn,ood_mnist,neg_entropy,0.723274725,0.07665778715530702
C_fashion_smallcnn,ood_mnist,argmax_only,0.5,0.16666666666666663
C_fashion_smallcnn,ood_kmnist,logit_probe,0.985376,0.017246738190465828
C_fashion_smallcnn,ood_kmnist,energy,0.8241609000000001,0.06205477205614397
C_fashion_smallcnn,ood_kmnist,margin,0.741036275,0.07150906692708864
C_fashion_smallcnn,ood_kmnist,max_softmax,0.7481289999999999,0.07110053667908472
C_fashion_smallcnn,ood_kmnist,neg_entropy,0.7553030000000001,0.07009160115476572
C_fashion_smallcnn,ood_kmnist,argmax_only,0.5,0.16666666666666663
C_fashion_smallcnn,ood_gaussian,logit_probe,1.0,0.014732035792846454
C_fashion_smallcnn,ood_gaussian,energy,0.82321925,0.04514687789677931
C_fashion_smallcnn,ood_gaussian,margin,0.77444365,0.05420923764693464
C_fashion_smallcnn,ood_gaussian,max_softmax,0.8217448249999999,0.04526927145988983
C_fashion_smallcnn,ood_gaussian,neg_entropy,0.867345075,0.03745877681761854
C_fashion_smallcnn,ood_gaussian,argmax_only,0.5,0.16666666666666663
C_fashion_smallcnn,ood_uniform,logit_probe,1.0,0.014732035792846454
C_fashion_smallcnn,ood_uniform,energy,0.7871936500000001,0.052323833761619136
C_fashion_smallcnn,ood_uniform,margin,0.76987045,0.05535654450809846
C_fashion_smallcnn,ood_uniform,max_softmax,0.8125388749999999,0.04718269980384943
C_fashion_smallcnn,ood_uniform,neg_entropy,0.8523364499999999,0.0403241697978262
C_fashion_smallcnn,ood_uniform,argmax_only,0.5,0.16666666666666663
D_cifar10_smallcnn,misclassification,logit_probe,0.6554322104833497,0.1446135759855291
D_cifar10_smallcnn,misclassification,energy,0.7463433089774953,0.10594293326942335
D_cifar10_smallcnn,misclassification,margin,0.8177227606160076,0.0786704029765379
