tag,epoch,train_loss,train_acc,val_loss,val_acc,val_nll
A_mnist_mlp,0,0.28725572928675897,0.9147222222222222,0.13779192773501078,0.9585,0.13779191672801971
A_mnist_mlp,1,0.11562862079452585,0.9643518518518519,0.10299517812331517,0.9678333333333333,0.10299517959356308
A_mnist_mlp,2,0.08249502066550432,0.9747407407407407,0.08806899499893188,0.9716666666666667,0.08806899189949036
A_mnist_mlp,3,0.06097855657339096,0.980574074074074,0.08438403564691543,0.976,0.08438403159379959
A_mnist_mlp,4,0.048660131854039654,0.9840740740740741,0.07230610038836797,0.9791666666666666,0.07230610400438309
A_mnist_mlp,5,0.03664580356136516,0.988,0.07218313471476237,0.9793333333333333,0.07218313217163086
A_mnist_mlp,6,0.027434092109126073,0.9912407407407408,0.07494304537773132,0.98,0.07494304329156876
A_mnist_mlp,7,0.02027094226192545,0.9937407407407407,0.06843283679087957,0.9826666666666667,0.06843283772468567
A_mnist_mlp,8,0.015639172065313216,0.9946481481481482,0.07155985554059346,0.9813333333333333,0.0715598538517952
A_mnist_mlp,9,0.010282243045115913,0.9969629629629629,0.07054572214682897,0.9826666666666667,0.07054571807384491
A_mnist_mlp,10,0.008191087423858268,0.9974074074074074,0.0690806730389595,0.9826666666666667,0.06908067315816879
A_mnist_mlp,11,0.006312094222478293,0.9983888888888889,0.06678999455769857,0.9845,0.06678998470306396
A_mnist_mlp,12,0.0055610424183240095,0.9983703703703704,0.06729592633247375,0.9841666666666666,0.06729593127965927
A_mnist_mlp,13,0.004075312027604216,0.9990555555555556,0.06828353559970855,0.9838333333333333,0.06828353554010391
A_mnist_mlp,14,0.003241519468439812,0.9993333333333333,0.06788707880179087,0.9845,0.0678870752453804
B_mnist_mlp_overtrained,0,0.2688394292725457,0.9205925925925926,0.1335647565126419,0.9603333333333334,0.133564755320549
B_mnist_mlp_overtrained,1,0.10239978744365551,0.9681666666666666,0.09881210019191106,0.9675,0.09881209582090378
B_mnist_mlp_overtrained,2,0.06997306004718498,0.9785555555555555,0.08101946812868119,0.9756666666666667,0.08101946115493774
B_mnist_mlp_overtrained,3,0.049667114235736706,0.9838888888888889,0.07400934153795242,0.9775,0.07400933653116226
B_mnist_mlp_overtrained,4,0.039477624535560606,0.9869259259259259,0.08216985195875168,0.9758333333333333,0.08216985315084457
B_mnist_mlp_overtrained,5,0.031115134968249886,0.9893888888888889,0.08147005671262741,0.9781666666666666,0.0814700648188591
B_mnist_mlp_overtrained,6,0.02444234025699121,0.9918148148148148,0.10449889059861502,0.9726666666666667,0.10449887812137604
B_mnist_mlp_overtrained,7,0.020983741967766374,0.9930740740740741,0.09615830618143081,0.9751666666666666,0.09615830332040787
B_mnist_mlp_overtrained,8,0.020972103477352195,0.9928518518518519,0.10008856256802877,0.9765,0.10008855909109116
B_mnist_mlp_overtrained,9,0.016140808374517493,0.994462962962963,0.09150664017597834,0.9778333333333333,0.09150664508342743
B_mnist_mlp_overtrained,10,0.019771412985882274,0.9931666666666666,0.08460430898269018,0.9801666666666666,0.08460430055856705
B_mnist_mlp_overtrained,11,0.012665225991530827,0.9955555555555555,0.09380601574977239,0.9791666666666666,0.09380602091550827
B_mnist_mlp_overtrained,12,0.012057753323465242,0.9960185185185185,0.10159639652570089,0.9791666666666666,0.1015964075922966
B_mnist_mlp_overtrained,13,0.018777020525946108,0.9938518518518519,0.11442737567424774,0.9736666666666667,0.11442738026380539
B_mnist_mlp_overtrained,14,0.012815334787764759,0.9957407407407407,0.09819943789641063,0.979,0.09819944202899933
B_mnist_mlp_overtrained,15,0.006409191371614321,0.9978518518518519,0.10855794898668925,0.9785,0.10855793952941895
B_mnist_mlp_overtrained,16,0.012036083889405105,0.9961296296296296,0.1149131944378217,0.9778333333333333,0.11491318792104721
B_mnist_mlp_overtrained,17,0.008573855379249262,0.9970185185185185,0.12501265851656596,0.9753333333333334,0.12501266598701477
